against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
962,140,175,0,1495,137,220,7,2,Geelong,155.405405405405,12,40,1,10
841,109,124,0,1054,122,155,15,3,"St Kilda",125.326991676576,12,36,2,9
1004,116,183,1,1263,148,180,4,3,Collingwood,125.796812749004,12,34,3,8
1067,137,160,0,1270,155,185,6,4,Fremantle,119.025304592315,12,32,4,8
937,139,145,0,1171,133,171,18,5,"Western Bulldogs",124.973319103522,12,28,5,7
1047,147,141,0,1173,150,172,3,5,Carlton,112.034383954155,12,28,6,7
978,138,135,0,1083,140,158,16,5,Sydney,110.736196319018,12,28,7,7
1037,161,148,0,1054,146,151,10,6,Hawthorn,101.639344262295,12,24,8,6
1233,135,140,0,980,183,140,12,6,"North Melbourne",79.4809407948094,12,24,9,6
1215,141,146,0,1088,179,157,5,7,Essendon,89.5473251028807,12,20,10,5
1192,172,152,0,1058,170,151,2,7,"Brisbane Lions",88.758389261745,12,20,11,5
1132,154,136,0,940,163,134,13,7,"Port Adelaide",83.0388692579505,12,20,12,5
1032,162,127,1,943,145,136,11,7,Melbourne,91.3759689922481,12,18,13,4
1207,151,140,0,980,176,140,17,9,"West Coast",81.1930405965203,12,12,14,3
1162,142,135,0,909,170,129,1,9,Adelaide,78.2271944922547,12,12,15,3
1284,174,131,0,869,185,123,14,10,Richmond,67.6791277258567,12,8,16,2
