against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1919,251,399,2,2769,278,395,4,4,Collingwood,144.293903074518,26,70,20
1971,285,333,0,2811,281,413,7,7,Geelong,142.61796042618,25,68,18
1910,260,270,2,2226,275,326,15,7,"St Kilda",116.544502617801,26,62,17
2018,272,289,0,2377,291,348,18,10,"Western Bulldogs",117.789890981169,25,56,15
2034,258,286,0,2188,296,317,16,10,Sydney,107.571288102262,24,52,14
2286,276,294,0,2328,335,339,6,10,Fremantle,101.837270341207,24,52,14
1941,267,278,1,2108,279,305,10,10,Hawthorn,108.6038124678,23,50,12
2082,288,269,0,2237,299,328,3,12,Carlton,107.444764649376,23,44,11
2208,252,256,0,1930,326,279,12,11,"North Melbourne",87.4094202898551,22,44,11
2123,287,237,0,1749,306,252,13,12,"Port Adelaide",82.3834196891192,22,40,10
1870,256,263,0,1763,269,250,1,13,Adelaide,94.2780748663102,22,36,9
1971,291,231,1,1863,280,272,11,13,Melbourne,94.5205479452055,22,34,8
2158,292,251,0,1775,311,254,2,15,"Brisbane Lions",82.2520852641335,22,28,7
2402,254,268,0,1930,358,277,5,15,Essendon,80.3497085761865,22,28,7
2348,314,238,0,1714,339,246,14,16,Richmond,72.9982964224872,22,24,6
2300,302,243,0,1773,333,255,17,18,"West Coast",77.0869565217391,22,16,4
