against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
745,109,165,0,987,106,137,4,1,Collingwood,132.48322147651,9,32,1,8
720,108,128,0,806,102,113,16,3,Sydney,111.944444444444,9,24,2,6
623,113,131,0,821,85,115,15,4,"St Kilda",131.781701444623,9,20,3,5
853,115,83,0,893,123,135,7,4,Geelong,104.689331770223,9,20,4,5
915,117,116,0,926,133,135,3,4,Carlton,101.20218579235,9,20,5,5
766,100,132,0,756,111,104,18,4,"Western Bulldogs",98.6945169712794,9,20,6,5
949,109,132,0,864,140,122,14,5,Richmond,91.0432033719705,9,16,7,4
801,141,111,0,729,110,103,5,5,Essendon,91.0112359550562,9,16,8,4
778,136,102,0,702,107,100,11,5,Melbourne,90.2313624678663,9,16,9,4
755,161,100,0,676,99,96,12,6,"North Melbourne",89.5364238410596,9,12,10,3
943,115,138,0,696,138,93,19,6,Fitzroy,73.8069989395546,9,12,11,3
904,130,116,0,896,129,130,10,7,Hawthorn,99.1150442477876,9,8,12,2
