against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1817,269,393,0,2451,258,343,4,4,Collingwood,134.892680242157,23,72,19
2029,289,304,0,2254,290,325,3,7,Carlton,111.089206505668,23,64,16
1622,278,335,0,2069,224,289,15,8,"St Kilda",127.558569667078,23,56,15
1971,279,288,0,2004,282,286,16,9,Sydney,101.674277016743,23,56,14
1903,307,245,0,1949,266,284,7,10,Geelong,102.417235943248,22,48,12
1998,264,295,0,2029,289,289,14,10,Richmond,101.551551551552,22,48,12
1894,262,288,0,1728,272,240,18,11,"Western Bulldogs",91.2354804646251,22,44,11
1986,282,260,0,2264,284,334,10,12,Hawthorn,113.997985901309,22,40,10
2155,295,292,0,1774,310,247,19,13,Fitzroy,82.3201856148492,22,36,9
2043,321,277,0,1705,287,238,11,16,Melbourne,83.4557023984337,22,24,6
2128,310,282,0,1734,303,242,5,16,Essendon,81.484962406015,22,24,6
1989,351,248,0,1574,273,221,12,18,"North Melbourne",79.1352438411262,22,16,4
