against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1086,156,231,0,1335,155,184,4,3,Collingwood,122.92817679558,13,40,1,10
1097,149,181,0,1195,158,169,16,4,Sydney,108.933454876937,13,36,2,9
886,166,181,0,1141,120,160,15,5,"St Kilda",128.781038374718,13,32,3,8
1237,169,171,0,1341,178,195,3,5,Carlton,108.407437348424,13,32,4,8
1155,171,142,0,1246,164,184,7,5,Geelong,107.878787878788,13,32,5,8
1286,158,183,0,1251,188,178,14,6,Richmond,97.2783825816485,13,28,6,7
1133,149,179,0,1079,164,150,18,6,"Western Bulldogs",95.233892321271,13,28,7,7
1219,169,165,0,1275,175,185,10,8,Hawthorn,104.593929450369,13,20,8,5
1291,169,177,0,1011,187,139,19,8,Fitzroy,78.3113865220759,13,20,9,5
1133,197,157,0,1021,156,144,5,9,Essendon,90.1147396293027,13,16,10,4
1211,191,138,0,990,170,142,11,9,Melbourne,81.7506193228737,13,16,11,4
1089,201,140,0,938,148,133,12,10,"North Melbourne",86.1340679522498,13,12,12,3
