against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1457,215,311,0,1817,207,251,4,4,Collingwood,124.708304735758,18,56,1,14
1528,220,246,0,1782,218,256,3,5,Carlton,116.623036649215,18,52,2,13
1272,222,261,0,1521,175,210,15,7,"St Kilda",119.575471698113,18,44,3,11
1441,211,230,0,1580,205,225,16,7,Sydney,109.646079111728,18,44,4,11
1555,247,206,0,1688,218,247,7,7,Geelong,108.553054662379,18,44,5,11
1673,227,250,0,1636,241,231,14,8,Richmond,97.7884040645547,18,40,6,10
1537,211,235,0,1375,221,190,18,9,"Western Bulldogs",89.4599869876383,18,36,7,9
1627,235,213,0,1827,232,269,10,10,Hawthorn,112.292562999385,18,32,8,8
1764,234,241,0,1453,255,202,19,11,Fitzroy,82.3696145124717,18,28,9,7
1620,252,231,0,1431,228,200,5,12,Essendon,88.3333333333333,18,24,10,6
1654,268,220,0,1348,231,188,11,13,Melbourne,81.4993954050786,18,20,11,5
1618,298,196,0,1288,220,182,12,15,"North Melbourne",79.6044499381953,18,12,12,3
