against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1899,243,313,1,2635,276,387,1,6,Adelaide,138.757240652975,24,62,17
2084,290,289,1,2347,299,343,7,8,Geelong,112.619961612284,25,62,16
1791,255,296,0,2186,256,315,14,7,Richmond,122.054718034618,24,60,17
2057,269,305,2,2321,298,336,9,8,"Greater Western Sydney",112.83422459893,25,60,15
1749,243,306,0,2244,251,323,13,9,"Port Adelaide",128.301886792453,23,56,14
1805,245,279,0,2253,260,329,16,9,Sydney,124.819944598338,24,56,15
1934,254,223,0,2035,280,302,11,10,Melbourne,105.222337125129,22,48,12
2125,283,277,0,2191,307,319,5,11,Essendon,103.105882352941,23,48,12
2059,289,246,0,2100,295,309,17,11,"West Coast",101.991257892181,24,48,13
1913,239,297,0,1857,279,260,18,11,"Western Bulldogs",97.0726607422896,22,44,11
1986,240,299,0,1925,291,271,15,11,"St Kilda",96.9284994964753,22,44,11
2055,249,226,1,1864,301,273,10,11,Hawthorn,90.705596107056,22,42,10
1963,241,276,1,1944,287,278,4,12,Collingwood,99.0320937340805,22,38,9
2160,258,221,0,1607,317,231,6,14,Fremantle,74.3981481481482,22,32,8
2264,278,243,0,1983,331,290,12,16,"North Melbourne",87.5883392226148,22,24,6
2038,244,202,0,1594,299,232,3,16,Carlton,78.2139352306182,22,24,6
2311,289,214,0,1756,337,257,8,16,"Gold Coast",75.9844223279965,22,24,6
2526,324,221,0,1877,367,276,2,17,"Brisbane Lions",74.3072050673001,22,20,5
