against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1006,124,166,0,1426,147,210,1,3,Adelaide,141.749502982107,12,36,1,9
1033,139,158,0,1202,149,174,9,3,"Greater Western Sydney",116.360116166505,12,36,2,9
992,140,126,0,1164,142,173,7,3,Geelong,117.338709677419,11,32,3,8
878,122,140,0,980,126,140,14,4,Richmond,111.617312072893,11,28,4,7
858,120,157,0,1141,123,164,13,5,"Port Adelaide",132.983682983683,11,24,5,6
999,123,124,0,1108,146,164,11,5,Melbourne,110.910910910911,11,24,6,6
1111,163,129,0,1143,158,169,5,6,Essendon,102.880288028803,12,24,7,6
899,119,147,0,921,130,129,18,5,"Western Bulldogs",102.447163515017,11,24,8,6
969,135,119,0,983,139,144,17,5,"West Coast",101.444788441692,11,24,9,6
1171,145,127,0,919,171,132,6,6,Fremantle,78.4799316823228,12,24,10,6
1051,133,163,0,1069,153,151,4,7,Collingwood,101.712654614653,12,20,11,5
1018,118,148,0,946,150,133,15,6,"St Kilda",92.9273084479371,11,20,12,5
1140,126,129,0,1005,169,146,8,6,"Gold Coast",88.1578947368421,11,20,13,5
943,115,120,0,990,138,145,16,7,Sydney,104.984093319194,11,16,14,4
1100,134,126,0,1032,161,151,12,7,"North Melbourne",93.8181818181818,11,16,15,4
993,117,97,0,799,146,117,3,7,Carlton,80.4632426988922,11,16,16,4
1231,157,119,0,947,179,138,10,8,Hawthorn,76.9293257514216,12,16,17,4
1286,170,105,0,903,186,133,2,9,"Brisbane Lions",70.2177293934681,11,8,18,2
