against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
906,120,160,0,1246,131,181,2,3,"Brisbane Lions",137.527593818985,11,32,1,8
899,119,120,0,1182,130,177,13,3,"Port Adelaide",131.479421579533,11,32,2,8
897,123,138,0,1068,129,155,4,3,Collingwood,119.063545150502,11,32,3,8
967,109,147,0,1149,143,167,1,3,Adelaide,118.821096173733,11,32,4,8
906,138,134,0,998,128,144,5,5,Essendon,110.154525386313,11,24,5,6
1152,132,133,0,1189,170,176,17,5,"West Coast",103.211805555556,11,24,6,6
1082,158,127,0,1069,154,157,11,5,Melbourne,98.7985212569316,11,24,7,6
1126,124,148,0,1072,167,154,12,5,"North Melbourne",95.2042628774423,11,24,8,6
1047,135,155,0,1127,152,162,18,6,"Western Bulldogs",107.640878701051,11,20,9,5
1077,129,110,0,1022,158,152,7,6,Geelong,94.8932219127205,11,20,10,5
1073,107,129,0,987,161,143,6,6,Fremantle,91.9850885368127,11,20,11,5
1133,143,111,0,1023,165,152,10,6,Hawthorn,90.2912621359223,11,20,12,5
1113,141,132,0,966,162,139,14,7,Richmond,86.7924528301887,11,16,13,4
1013,125,134,1,968,148,139,16,7,Sydney,95.5577492596249,11,14,14,3
1142,140,93,1,771,167,113,15,7,"St Kilda",67.5131348511384,11,14,15,3
1133,131,103,0,829,167,121,3,10,Carlton,73.1685789938217,11,4,16,1
