against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1338,174,182,0,1808,194,271,13,4,"Port Adelaide",135.127055306428,16,48,1,12
1403,173,227,0,1853,205,271,2,4,"Brisbane Lions",132.074126870991,16,48,2,12
1339,187,192,0,1566,192,229,4,5,Collingwood,116.952949962659,16,44,3,11
1514,170,204,0,1692,224,248,1,6,Adelaide,111.756935270806,16,40,4,10
1418,176,174,0,1506,207,222,7,6,Geelong,106.205923836389,16,40,5,10
1573,217,190,0,1612,226,237,11,7,Melbourne,102.479338842975,16,36,6,9
1585,199,190,0,1606,231,236,17,7,"West Coast",101.324921135647,16,36,7,9
1593,183,203,0,1565,235,227,12,7,"North Melbourne",98.2423101067169,16,36,8,9
1507,199,156,0,1458,218,217,10,7,Hawthorn,96.7485069674851,16,36,9,9
1382,188,197,1,1427,199,205,5,7,Essendon,103.256150506512,16,34,10,8
1591,163,184,0,1384,238,200,6,9,Fremantle,86.9893148962916,16,28,11,7
1666,196,211,1,1681,245,245,18,9,"Western Bulldogs",100.900360144058,16,26,12,6
1461,177,193,1,1441,214,208,16,11,Sydney,98.631074606434,16,18,13,4
1686,198,136,1,1240,248,184,15,11,"St Kilda",73.5468564650059,16,18,14,4
1656,198,187,0,1279,243,182,14,12,Richmond,77.2342995169082,16,16,15,4
1710,192,164,0,1304,253,190,3,14,Carlton,76.2573099415205,16,8,16,2
