against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1753,223,306,0,2436,255,355,2,4,"Brisbane Lions",138.961779806047,21,68,1,17
1699,223,248,0,2270,246,337,13,4,"Port Adelaide",133.608004708652,21,68,2,17
1927,229,256,0,2188,283,322,1,7,Adelaide,113.544369486248,21,56,3,14
1783,247,250,0,2008,256,293,4,8,Collingwood,112.619181155356,21,52,4,13
2126,230,261,0,2115,316,309,12,9,"North Melbourne",99.4825964252117,21,48,5,12
1810,250,251,1,1847,260,266,5,9,Essendon,102.044198895028,21,46,6,11
2128,274,254,0,2108,309,309,11,10,Melbourne,99.0601503759399,21,44,7,11
1954,232,226,0,1876,287,275,7,10,Geelong,96.0081883316274,21,44,8,11
2128,268,235,0,2065,310,305,17,11,"West Coast",97.0394736842105,21,40,9,10
2050,268,213,0,1863,297,275,10,11,Hawthorn,90.8780487804878,21,40,10,10
2031,219,248,0,1820,302,262,6,12,Fremantle,89.6110290497292,21,36,11,9
1900,226,249,1,2007,279,293,16,12,Sydney,105.631578947368,21,34,12,8
2173,259,271,1,2221,319,325,18,12,"Western Bulldogs",102.208927749655,21,34,13,8
2056,256,249,0,1725,300,246,14,14,Richmond,83.9007782101167,21,28,14,7
2136,252,186,1,1668,314,247,15,15,"St Kilda",78.0898876404494,21,22,15,5
2208,258,211,0,1645,325,239,3,18,Carlton,74.5018115942029,21,12,16,3
