against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1714,226,340,0,2698,248,393,7,4,Geelong,157.409568261377,23,72,19
2103,279,306,0,2382,304,346,13,7,"Port Adelaide",113.266761768902,23,60,16
2003,263,295,0,2227,290,322,17,8,"West Coast",111.183225162257,23,60,15
2154,306,301,0,2233,308,322,12,9,"North Melbourne",103.667595171773,23,56,14
1957,271,282,0,2202,281,320,10,9,Hawthorn,112.519161982626,23,52,14
2079,273,324,0,2136,301,302,4,9,Collingwood,102.741702741703,23,52,14
1823,239,258,1,2118,264,310,16,10,Sydney,116.182117388919,23,50,12
1817,263,273,0,1983,259,285,1,11,Adelaide,109.135938359934,23,48,12
1941,249,272,1,1874,282,267,15,10,"St Kilda",96.5481710458527,22,46,11
1885,289,288,2,1986,266,283,2,11,"Brisbane Lions",105.358090185676,22,40,9
2198,296,256,0,2254,317,333,6,12,Fremantle,102.547770700637,22,40,10
2394,288,264,0,2184,351,320,5,12,Essendon,91.2280701754386,22,40,10
2469,321,263,1,2111,358,308,18,12,"Western Bulldogs",85.5002025111381,22,38,9
2418,324,252,0,1890,349,273,11,17,Melbourne,78.1637717121588,22,20,5
2911,313,295,0,2167,433,312,3,18,Carlton,74.44177258674,22,16,4
2537,317,248,1,1958,370,285,14,18,Richmond,77.1777690185258,22,14,3
