against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1431,207,294,0,2196,204,317,10,3,Hawthorn,153.459119496855,20,68,1,17
1594,220,267,1,2139,229,312,4,5,Collingwood,134.190715181932,20,58,2,14
1430,200,284,0,1964,205,280,15,6,"St Kilda",137.342657342657,20,56,3,14
1686,246,285,0,2085,240,300,14,6,Richmond,123.665480427046,20,56,4,14
1822,262,265,0,1915,260,275,3,7,Carlton,105.104281009879,20,52,5,13
1544,230,271,1,1795,219,254,11,8,Melbourne,116.256476683938,20,46,6,11
2001,279,261,0,1797,287,256,18,9,"Western Bulldogs",89.8050974512744,20,44,7,11
1749,237,305,0,1847,252,257,19,10,Fitzroy,105.603201829617,20,40,8,10
2054,290,247,1,1549,294,217,5,15,Essendon,75.4138266796495,20,18,9,4
2348,320,241,1,1543,338,217,12,15,"North Melbourne",65.7155025553663,20,18,10,4
2318,338,200,0,1844,330,274,7,16,Geelong,79.5513373597929,20,16,11,4
2134,316,225,0,1437,303,202,16,18,Sydney,67.3383317713215,20,8,12,2
