against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
625,85,147,0,1023,90,146,10,1,Hawthorn,163.68,9,32,1,8
728,110,142,0,994,103,142,11,1,Melbourne,136.538461538462,9,32,2,8
729,93,122,1,998,106,146,4,1,Collingwood,136.899862825789,9,30,3,7
802,124,122,0,980,113,143,14,3,Richmond,122.194513715711,9,24,4,6
733,109,137,0,863,104,121,15,4,"St Kilda",117.735334242838,9,20,5,5
878,134,129,0,813,124,114,3,4,Carlton,92.5968109339408,9,20,6,5
945,135,137,0,923,135,131,19,5,Fitzroy,97.6719576719577,9,16,7,4
956,116,127,0,841,140,119,18,5,"Western Bulldogs",87.9707112970711,9,16,8,4
1088,140,124,0,832,158,118,12,6,"North Melbourne",76.4705882352941,9,12,9,3
923,131,107,1,713,132,101,5,7,Essendon,77.2481040086674,9,6,10,1
1070,182,100,0,832,148,122,7,8,Geelong,77.7570093457944,9,4,11,1
1016,140,105,0,681,146,96,16,8,Sydney,67.0275590551181,9,4,12,1
