against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
459,75,97,0,613,64,86,3,0,Carlton,133.551198257081,5,20,1,5
496,76,88,1,664,70,96,14,1,Richmond,133.870967741935,5,14,2,3
411,69,76,0,550,57,79,12,2,"North Melbourne",133.8199513382,5,12,3,3
448,64,64,0,508,64,74,7,2,Geelong,113.392857142857,5,12,4,3
489,75,88,0,526,69,73,10,2,Hawthorn,107.566462167689,5,12,5,3
558,78,72,0,558,80,81,11,2,Melbourne,100,5,12,6,3
521,71,79,0,505,75,71,16,2,Sydney,96.9289827255278,5,12,7,3
474,72,72,0,516,67,74,5,3,Essendon,108.860759493671,5,8,8,2
496,76,80,0,404,70,54,4,3,Collingwood,81.4516129032258,5,8,9,2
568,88,79,1,451,80,62,15,3,"St Kilda",79.4014084507042,5,6,10,1
685,85,74,0,506,100,72,19,4,Fitzroy,73.8686131386861,5,4,11,1
651,93,53,0,455,93,67,18,5,"Western Bulldogs",69.8924731182796,5,0,12,0
