against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
996,156,195,1,1491,140,216,14,1,Richmond,149.698795180723,11,38,1,9
949,139,163,0,1291,135,188,12,3,"North Melbourne",136.037934668072,11,32,2,8
1111,163,207,0,1287,158,180,3,3,Carlton,115.841584158416,11,32,3,8
1048,154,149,0,1199,149,175,7,4,Geelong,114.408396946565,11,28,4,7
1144,160,166,0,1228,164,177,16,4,Sydney,107.342657342657,11,28,5,7
1180,154,180,1,1206,171,171,4,4,Collingwood,102.203389830508,11,26,6,6
1038,144,171,0,1173,149,167,5,5,Essendon,113.005780346821,11,24,7,6
1186,160,179,0,1145,171,161,10,5,Hawthorn,96.5430016863406,11,24,8,6
1409,179,149,0,1139,205,165,11,8,Melbourne,80.8374733853797,11,12,9,3
1408,208,159,1,1197,200,173,19,8,Fitzroy,85.0142045454545,11,10,10,2
1372,184,154,1,994,198,140,15,8,"St Kilda",72.4489795918367,11,10,11,2
1543,187,116,0,1034,226,153,18,11,"Western Bulldogs",67.0123136746598,11,0,12,0
