against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1434,240,281,1,2099,199,303,14,2,Richmond,146.373779637378,16,54,1,13
1379,203,214,0,1744,196,255,7,4,Geelong,126.468455402466,16,48,2,12
1524,228,283,0,1825,216,257,3,4,Carlton,119.750656167979,16,48,3,12
1380,192,224,0,1736,198,252,12,5,"North Melbourne",125.797101449275,16,44,4,11
1642,214,279,1,1731,238,242,4,6,Collingwood,105.420219244823,16,38,5,9
1638,228,235,0,1621,235,231,16,7,Sydney,98.962148962149,16,36,6,9
1724,224,256,0,1678,250,237,10,8,Hawthorn,97.3317865429234,16,32,7,8
1530,228,227,0,1613,217,231,5,10,Essendon,105.424836601307,16,24,8,6
1937,245,225,0,1653,282,238,11,11,Melbourne,85.3381517811048,16,20,9,5
2050,292,217,1,1687,293,245,19,12,Fitzroy,82.2926829268293,16,14,10,3
1969,265,196,1,1354,284,193,15,12,"St Kilda",68.7658710005079,16,14,11,3
2065,259,181,0,1531,301,225,18,13,"Western Bulldogs",74.1404358353511,16,12,12,3
