against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
847,139,134,0,1136,118,167,3,2,Carlton,134.120425029516,10,32,1,8
990,150,147,0,1311,140,194,10,2,Hawthorn,132.424242424242,10,32,2,8
825,117,146,0,980,118,139,11,2,Melbourne,118.787878787879,10,32,3,8
762,120,130,0,934,107,134,4,3,Collingwood,122.57217847769,10,28,4,7
1007,131,146,0,1184,146,173,7,4,Geelong,117.576961271102,10,24,5,6
956,116,124,0,1108,140,164,5,4,Essendon,115.899581589958,10,24,6,6
911,149,137,0,1073,127,156,17,5,"West Coast",117.782656421515,10,20,7,5
1013,131,147,0,885,147,123,16,6,Sydney,87.3642645607108,10,16,8,4
1209,171,129,0,807,173,113,2,6,"Brisbane Lions",66.7493796526055,10,16,9,4
900,120,120,0,840,130,120,18,7,"Western Bulldogs",93.3333333333333,10,12,10,3
1153,139,157,0,1027,169,145,19,7,Fitzroy,89.071986123157,10,12,11,3
1263,129,131,0,1097,189,161,12,7,"North Melbourne",86.8566904196358,10,12,12,3
979,127,123,0,843,142,120,15,7,"St Kilda",86.1082737487232,10,12,13,3
1316,164,132,0,906,192,129,14,8,Richmond,68.8449848024316,10,8,14,2
