against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2007,297,337,0,2857,285,420,10,3,Hawthorn,142.351768809168,23,76,20
1968,306,295,1,2137,277,307,4,8,Collingwood,108.587398373984,24,62,15
2134,322,348,0,2532,302,364,3,8,Carlton,118.650421743205,24,60,16
2039,317,320,0,2270,287,325,17,10,"West Coast",111.329082883767,23,52,13
2114,278,311,0,2171,306,310,11,9,Melbourne,102.696310312204,24,52,15
2017,265,272,0,2186,292,319,5,10,Essendon,108.378780366882,22,48,12
2176,292,363,0,2169,314,301,16,10,Sydney,99.6783088235294,22,48,12
1803,267,266,0,1880,256,269,18,11,"Western Bulldogs",104.270660011093,22,44,11
2246,290,292,0,2356,326,344,7,12,Geelong,104.897595725735,22,40,10
2540,338,301,0,2161,367,310,14,14,Richmond,85.0787401574803,22,32,8
2638,316,303,1,2361,387,343,12,14,"North Melbourne",89.4996209249431,22,30,7
2538,318,310,0,2128,370,303,19,15,Fitzroy,83.8455476753349,22,28,7
2421,369,282,0,1806,342,254,2,15,"Brisbane Lions",74.5972738537794,22,28,7
2081,293,268,0,1708,298,240,15,18,"St Kilda",82.0759250360404,22,16,4
