against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1561,235,248,0,2090,221,307,10,3,Hawthorn,133.888532991672,17,56,1,14
1457,227,253,0,1813,205,260,3,5,Carlton,124.433768016472,17,48,2,12
1386,204,224,0,1508,197,214,11,5,Melbourne,108.802308802309,17,48,3,12
1294,214,204,1,1458,180,209,4,5,Collingwood,112.673879443586,17,46,4,11
1543,193,207,0,1749,225,257,5,7,Essendon,113.350615683733,17,40,5,10
1659,219,276,0,1632,240,226,16,8,Sydney,98.372513562387,17,36,6,9
1636,256,237,0,1701,230,244,17,9,"West Coast",103.973105134474,17,32,7,8
1417,205,200,0,1412,202,202,18,9,"Western Bulldogs",99.6471418489767,17,32,8,8
1703,215,228,0,1740,248,252,7,10,Geelong,102.172636523782,17,28,9,7
1957,229,233,1,1829,288,266,12,10,"North Melbourne",93.4593765968319,17,26,10,6
1787,245,245,0,1679,257,239,19,11,Fitzroy,93.9563514269726,17,24,11,6
1948,274,219,0,1413,279,199,2,11,"Brisbane Lions",72.5359342915811,17,24,12,6
2000,272,225,0,1521,288,216,14,12,Richmond,76.05,17,20,13,5
1531,217,206,0,1334,219,188,15,13,"St Kilda",87.1325930764206,17,16,14,4
