against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
574,76,110,0,824,83,119,17,0,"West Coast",143.554006968641,8,32,1,8
713,71,102,0,888,107,131,7,2,Geelong,124.544179523142,8,24,2,6
723,99,97,0,835,104,123,14,2,Richmond,115.491009681881,8,24,3,6
770,116,92,0,848,109,126,11,3,Melbourne,110.12987012987,8,20,4,5
727,97,80,0,716,105,106,12,3,"North Melbourne",98.4869325997249,8,20,5,5
698,104,90,0,786,99,116,6,4,Fremantle,112.607449856734,8,16,6,4
735,87,97,0,805,108,118,15,4,"St Kilda",109.52380952381,8,16,7,4
628,82,102,0,678,91,96,1,4,Adelaide,107.96178343949,8,16,8,4
844,118,111,0,855,121,124,18,4,"Western Bulldogs",101.303317535545,8,16,9,4
669,81,109,0,625,98,86,16,4,Sydney,93.423019431988,8,16,10,4
788,110,82,0,718,113,106,2,5,"Brisbane Lions",91.1167512690355,8,12,11,3
800,104,91,0,691,116,100,5,5,Essendon,86.375,8,12,12,3
757,91,85,1,619,111,89,13,5,"Port Adelaide",81.7701453104359,8,10,13,2
928,88,100,1,724,140,104,3,5,Carlton,78.0172413793103,8,10,14,2
749,89,81,0,711,110,105,10,6,Hawthorn,94.9265687583445,8,8,15,2
859,103,87,0,639,126,92,4,7,Collingwood,74.3888242142026,8,4,16,1
