against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1844,344,329,1,2381,250,342,3,7,Carlton,129.12147505423,24,66,16
2258,308,405,0,2613,325,368,10,6,Hawthorn,115.721877767936,25,64,19
2077,313,320,0,2354,294,339,12,9,"North Melbourne",113.336543090997,26,60,17
2354,320,295,0,2413,339,353,7,11,Geelong,102.50637213254,24,48,13
2125,343,259,1,2053,297,299,18,11,"Western Bulldogs",96.6117647058824,23,46,11
2333,269,345,0,2319,344,329,11,11,Melbourne,99.3999142734676,22,44,11
2224,310,296,0,2192,319,316,14,12,Richmond,98.5611510791367,22,40,10
2364,330,285,0,2223,339,323,16,13,Sydney,94.0355329949239,22,36,9
2282,302,298,0,2056,330,293,15,13,"St Kilda",90.0964066608238,22,36,9
2253,303,307,0,1987,325,280,5,13,Essendon,88.1935197514425,22,36,9
2161,319,331,0,2005,307,279,19,15,Fitzroy,92.7811198519204,22,28,7
2354,326,317,0,2033,338,286,4,16,Collingwood,86.3636363636364,22,24,6
